"","AAA_21","Amidase","ArsR","BPL_C","BrxP_00001","CARF3..CARF_MK_CARF_00100186","CARF3..CARF_TM_CARF3..CARF_TM","COG1203","COG1353","COG2254","CRM1_repeat_3","Cas_Cas2CT1978","Csm1_B","DUF1178","DUF1421","DUF1515","DUF1883","DUF2371","DUF2631","DUF2774","DUF2855","DUF2973","DUF3015","DUF354","DUF4106","DUF434","DUF4364","DUF4381","DUF4516","DUF5320","DUF5713","DUF5775","DUF6102","DUF6358","DUF6385","DUF6489","DUF6744","DevR_archaea","Effector_00002","FANCI_S1.cap","FKBP_C","Fe.ADH","FeoB_associated","Fer4_NifH","Glyco_tranf_2_5","Glyco_transf_17","HARP","HEase_00015","HerA_C","HobA","IL33","IetA_00001","IetA_00002","JetC1_00010","JetC2_00005","KH_7","LPD11","MSP7_C","MTase_II_00015","MazE_antitoxin","Mid2","MoaC","NTP_transferase","ODV.E18","Omega_Repress","Orf78","PBP","PDDEXK_5","PIG.U","PLRV_ORF5","PYC_OADA","PetM","Phage_Arf","Phage_Capsid_P3","Proteasome","PspB","PtuA1_00003","RE_SinI","RHH_3","RHH_7","RIFIN","RRXRR","Ribosomal_L12","RmlD_sub_bind","RtcR_PspF1..CARF_AAA_HTH_RtcR_PspF1..CARF_AAA_HTH","SPOUT_MTase","SRP1_TIP1","SecE","Sld5","Spermine_synth","SspB_00009","Sulf_coat_C","THUMP","Thioredoxin","Transthyretin","TrbC","VapB_antitoxin","VbhA","WCOB","WD40_3","XisI","YdjM","ZorA2_00003","Zot","bMG3","bpMoxR","cas4","cas_HTH","cd09655","cd09753","cluster1","cluster2","cluster3","cluster7","dUTPase_2","icity0062","icity0111","ivWA","kleA_kleC","mREase_IV_00005","retron_I.C3","shah_acc_0057","tRNA_Me_trans_M","vATP.synt_E","zf.DBF"
"379",0.005235602,0,0.015706806,0,0,0,0,0,0,0.157068063,0,0,0,0,0,0,0,0,0,0.209424084,0,0,0,0,0,0.020942408,0,0,0,0,0,0.371727749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.486910995,0,0,0,0,0,0.020942408,0,0,0,0,0,0.02617801,0,0,0,0.460732984,0,0,0,0.047120419,0,0,0,0,0,0,0,0,0,0,0.078534031,0.42408377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010471204,0,0.005235602,0,0,0,0,0,0,0,0,0,0.413612565,0,0,0,0,0,0,0
"48",0,0,0,0,0,0,0.069306931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0.158415842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108910891,0,0.128712871,0,0,0.00990099,0,0,0,0,0,0,0,0.188118812,0,0,0.198019802,0,0,0,0,0,0,0,0,0,0,0,0,0.801980198,0,0,0,0,0,0,0,0,0,0,0.326732673,0,0,0,0.04950495,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0,0,0,0
"328",0.013761468,0,0.275229358,0,0,0.036697248,0.559633028,0,0.027522936,0,0,0,0,0,0,0,0,0,0,0.004587156,0,0,0,0,0,0,0,0,0,0,0,0,0.339449541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403669725,0.068807339,0,0,0,0.068807339,0.178899083,0,0,0,0,0,0,0.082568807,0,0,0,0.027522936,0,0,0.004587156,0,0.027522936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013761468,0,0,0,0,0,0,0,0,0,0,0.009174312,0.041284404,0,0,0,0,0,0,0,0,0,0,0,0,0.564220183,0,0,0
"138",0.0125,0.00625,0.35,0,0,0.03125,0.6,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0.0125,0,0,0,0,0,0.0125,0,0,0,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125,0,0,0,0,0,0,0.1875,0,0.00625,0,0,0.41875,0,0.00625,0.025,0,0,0,0,0,0,0.00625,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0.00625,0,0,0,0,0.00625,0,0,0,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0.01875,0,0,0,0,0,0.03125,0,0,0.00625
"19",0,0,0.019230769,0,0.044871795,0,0,0,0,0,0.019230769,0,0,0,0.006410256,0,0,0,0,0.006410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006410256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064102564,0,0,0.083333333,0,0.134615385,0,0,0.070512821,0,0.038461538,0,0,0,0,0,0,0,0,0.025641026,0,0,0,0,0,0,0,0,0,0,0,0,0.955128205,0,0,0,0,0,0,0,0,0,0,0.032051282,0,0,0,0,0.096153846,0,0,0,0,0,0,0,0.038461538,0,0,0,0,0,0,0,0,0
"166",0,0,0.058064516,0,0,0,0.096774194,0,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0,0,0,0,0,0.025806452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012903226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006451613,0,0,0,0,0,0.006451613,0,0,0,0,0,0,0,0,0.296774194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012903226,0,0.006451613,0
"283",0,0,0,0.503759398,0,0,0,0,0,0,0,0.330827068,0,0.421052632,0,0,0,0,0,0,0,0,0,0.390977444,0,0,0,0,0.466165414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.330827068,0,0,0,0,0.545112782,0,0,0,0,0,0,0,0,0.011278195,0,0,0,0.030075188,0,0,0,0,0,0,0,0,0,0,0,0.545112782,0,0,0,0,0.413533835,0,0,0,0.428571429,0,0,0,0,0.533834586,0,0,0,0,0,0,0,0,0.342105263,0,0,0,0,0,0.244360902,0,0,0,0,0,0,0,0,0,0,0,0.270676692,0.330827068,0,0,0,0,0,0
"429",0,0,0,0,0,0,0.425,0,0,0,0,0,0,0,0,0,0,0.441666667,0,0,0,0,0,0,0,0,0,0,0,0,0.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666667,0,0,0,0,0.408333333,0,0,0,0,0,0.433333333,0.275,0,0,0,0,0,0,0.575,0,0.441666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.341666667,0,0,0,0,0,0,0,0,0,0.475,0,0,0.558333333,0,0,0,0,0,0,0,0,0,0,0,0.45,0,0,0,0,0
"134",0,0,0,0,0,0,0.298850575,0,0,0,0,0,0,0,0,0,0,0,0.32183908,0,0,0,0,0,0.413793103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517241379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.482758621,0,0,0,0,0.413793103,0,0.494252874,0,0,0,0.08045977,0,0,0,0,0,0,0,0.011494253,0,0,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",0.047619048,0,0,0,0.328571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028571429,0,0,0,0,0,0,0,0,0.342857143,0,0,0.004761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038095238,0,0,0,0,0,0,0,0,0,0,0,0.061904762,0,0,0,0,0.004761905,0,0,0,0,0,0,0,0,0.004761905,0.004761905,0,0,0,0,0,0,0,0,0,0,0,0.004761905,0,0,0,0,0,0,0,0.028571429,0,0,0,0.038095238,0,0,0,0.052380952,0,0,0.442857143,0.414285714,0.433333333,0.438095238,0,0.028571429,0,0,0,0,0,0,0,0,0
"188",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009756098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004878049,0,0,0,0,0,0.014634146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004878049,0,0,0,0,0,0,0,0,0,0,0.243902439,0,0,0,0,0,0.004878049,0,0,0,0,0.209756098,0,0,0,0.024390244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49",0,0,0,0,0,0.009708738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097087379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009708738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.242718447,0.038834951,0,0,0,0,0,0,0,0,0,0.019417476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087378641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
